09.02.2015,Зоран Заев,Новинар од РСЕ
,Зоран Заев,Радмила Шекеринска
,Зоран Заев ,Ќерка му на Заев
,Гордана Јанкуловска,Зоран Ставрески
,Љубчо Георгиевски,Соговорник 01
,Љубчо Георгиевски,Соговорник 02
,Али Ахмети,Соговорник 03
,Мендух Тачи,Соговорник 04
,Бујар Османи,Соговорник 05
15.02.2015,Гордана Јанкуловска,Михајло Маневски
,Сашо Мијалков,Муса Џафери
,Гордана Јанкуловска,Зоран Ставрески
,Гордана Јанкуловска,Марјан Ристески
,Драган Павловиќ Латас,Филимена Филимена Маневска
20.02.2015,Драган Павловиќ Латас,Сашо Мијалков
,Драган Павловиќ Латас,Сашо Мијалков
,Драган Павловиќ Латас,Сашо Мијалков
,Емил Стојменов,Сашо Мијалков
,Гордана Јанкуловска,Мартин Протугер
,Гордана Јанкуловска,Мартин Протугер
,Гордана Јанкуловска,Иво Котевски
25.02.2015,Гордана Јанкуловска,Мартин Протугер
,Драган Павловиќ Латас,Елизабета Канческа-Милевска
,Иво Котевски,Гордана Јанкуловска
,Сашо Мијалков,Драган Павловиќ Латас
,Гордана Јанкуловска,Сашо Мијалков
,Миле Јанакиески,Никола Груевски
27.02.2015,Миле Јанакиески,Никола Груевски
,Миле Јанакиески,Никола Груевски
,Миле Јанакиески,Никола Груевски
,Миле Јанакиески,Никола Груевски
,Миле Јанакиески,Никола Груевски
,Миле Јанакиески,Никола Груевски
,Миле Јанакиески,Никола Груевски
,Миле Јанакиески,Никола Груевски
,Миле Јанакиески,Никола Груевски
02.03.2015,Гордана Јанкуловска,Зоран Ставрески
,Гордана Јанкуловска,Зоран Ставрески
,Гордана Јанкуловска,Зоран Ставрески
,Гордана Јанкуловска,Зоран Ставрески
,Гордана Јанкуловска,Зоран Ставрески
,Гордана Јанкуловска,Зоран Ставрески
,Гордана Јанкуловска,Зоран Ставрески
,Гордана Јанкуловска,Зоран Ставрески
,Гордана Јанкуловска,Зоран Ставрески
,Гордана Јанкуловска,Зоран Ставрески
,Гордана Јанкуловска,Зоран Ставрески
,Гордана Јанкуловска,Зоран Ставрески
06.03.2015,Гордана Јанкуловска,Кирил Божиновски
,Миле Јанакиески,Соговорник 06
,Гордана Јанкуловска,Соговорник 07
,Миле Јанакиески,Никола Груевски
,Гордана Јанкуловска,Мартин Протугер
,Миле Јанакиески,Соговорник (Стевче)
,Миле Јанакиески,Горан Трајковски
,Миле Јанакиески,Соговорник 08
,Миле Јанакиески,Спиро Ристовски
,Миле Јанакиески,Соговорник 09
,Миле Јанакиески,Соговорник 10
,Миле Јанакиески,Соговорник 11
,Миле Јанакиески,Љупчо Димовски
,Миле Јанакиески,Душко Миновски
,Гордана Јанкуловска,Соговорник 12
,Гордана Јанкуловска,Соговорник 13
,Гордана Јанкуловска,Соговорник 14
,Миле Јанакиески,Соговорник 15
,Гордана Јанкуловска,Соговорник 16
,Миле Јанакиески,Соговорник 17
,Миле Јанакиески,Ирена Мишева
,Миле Јанакиески,Соговорник 18
,Миле Јанакиески,Ирена Мишева
,Мартин Протугер,Емил Стојменов
,Мартин Протугер,Влатко Мијалков
,Драган Павловиќ Латас,Зоран Коњановски
,Миле Јанакиески,Соговорник 19
,Миле Јанакиески,Никола Груевски
,Гордана Јанкуловска,Миле Јанакиески
,Миле Јанакиески,Ирена Мишева
,Гордана Јанкуловска,Кирил Божиновски
,Миле Јанакиески,Спиро Ристовски
,Гордана Јанкуловска,Соговорник 20
,Миле Јанакиески,Соговорник 21
